cod_ine,n_edificios,pct_anterior_1980,pct_posterior_2010
4625001001,145,80.0,4.8276
4625001002,153,88.8889,1.3072
4625001003,114,85.0877,0.8772
4625001005,158,87.3418,0.0
4625001007,120,95.8333,0.0
4625001008,113,92.0354,0.0
4625001009,32,84.375,6.25
4625001010,120,76.6667,5.0
4625001011,170,88.2353,0.0
4625001012,93,80.6452,5.3763
4625001013,68,82.3529,0.0
4625001014,131,75.5725,3.0534
4625001017,38,78.9474,0.0
4625001019,187,75.9358,4.8128
4625001022,75,65.3333,6.6667
4625001023,78,79.4872,6.4103
4625001024,142,85.2113,2.8169
4625001025,237,92.4051,0.8439
4625001026,152,84.2105,5.9211
4625001028,122,87.7049,1.6393
4625001030,87,82.7586,0.0
4625001031,103,83.4951,0.9709
4625001032,102,90.1961,0.9804
4625001034,95,84.2105,0.0
4625002001,43,83.7209,6.9767
4625002003,48,97.9167,2.0833
4625002004,49,93.8776,2.0408
4625002006,50,98.0,0.0
4625002008,75,97.3333,0.0
4625002009,68,92.6471,0.0
4625002010,43,79.0698,0.0
4625002013,106,80.1887,3.7736
4625002014,60,78.3333,0.0
4625002015,101,92.0792,0.9901
4625002016,97,77.3196,4.1237
4625002018,61,80.3279,1.6393
4625002019,71,95.7746,1.4085
4625002020,25,84.0,0.0
4625002021,51,84.3137,3.9216
4625002023,44,79.5455,0.0
4625002024,35,100.0,0.0
4625002025,36,97.2222,0.0
4625002026,56,85.7143,0.0
4625002030,54,83.3333,3.7037
4625002031,52,96.1538,0.0
4625002032,26,73.0769,3.8462
4625002033,119,81.5126,4.2017
4625002035,52,84.6154,3.8462
4625002036,54,75.9259,0.0
4625002037,87,90.8046,2.2989
4625002039,77,85.7143,1.2987
4625002041,36,75.0,0.0
4625002042,54,88.8889,1.8519
4625002043,34,88.2353,2.9412
4625002044,36,97.2222,0.0
4625002045,50,88.0,0.0
4625002046,40,97.5,0.0
4625002047,42,95.2381,0.0
4625002050,60,91.6667,0.0
4625002051,58,98.2759,0.0
4625002053,35,97.1429,0.0
4625002054,27,100.0,0.0
4625002055,51,94.1176,0.0
4625002057,36,100.0,0.0
4625003001,33,81.8182,0.0
4625003002,112,82.1429,1.7857
4625003004,144,88.8889,0.0
4625003007,42,90.4762,0.0
4625003008,78,83.3333,6.4103
4625003010,135,93.3333,0.0
4625003013,117,89.7436,0.0
4625003015,93,84.9462,3.2258
4625003017,75,85.3333,0.0
4625003018,44,93.1818,0.0
