cod_ine,id_candidato,dist_m
4625001001.0,J1_0006,0.0
4625001001.0,J2E_0100,86.62
4625001001.0,J1_0062,112.56
4625001001.0,J2E_0560,112.56
4625001001.0,J2E_0085,148.04
4625001001.0,J2E_0046,169.42
4625001001.0,J2E_0314,169.42
4625001001.0,J2E_0043,176.56
4625001001.0,J2E_0102,179.84
4625001001.0,J2E_0240,184.29
4625001001.0,J2E_0501,185.91
4625001001.0,J2E_0217,192.96
4625001001.0,J2E_0322,195.62
4625001001.0,J1_0016,196.69
4625001001.0,J2E_0003,214.06
4625001001.0,J2E_0189,214.5
4625001001.0,J2E_0503,217.1
4625001001.0,J2E_0061,220.45
4625001001.0,J2E_0044,228.89
4625001001.0,J2E_0098,232.19
4625001001.0,J2E_0214,241.8
4625001001.0,J1_0064,242.46
4625001001.0,J2E_0175,243.52
4625001001.0,J2E_0216,246.38
4625001001.0,J1_0003,265.57
4625001001.0,J2E_0316,265.57
4625001001.0,J2E_0097,268.59
4625001001.0,J2E_0215,271.01
4625001001.0,J2E_0565,282.14
4625001001.0,J2E_0154,286.69
4625001001.0,J2E_0144,291.3
4625001001.0,J2E_0321,297.69
4625001001.0,J2E_0168,303.13
4625001001.0,J2E_0213,312.19
4625001001.0,J2E_0008,312.54
4625001001.0,J2E_0325,320.97
4625001001.0,J2E_0045,322.51
4625001001.0,J2E_0566,332.74
4625001001.0,J2E_0048,336.69
4625001001.0,J2E_0052,344.84
4625001001.0,J2E_0545,345.65
4625001001.0,J2E_0095,349.92
4625001001.0,J2E_0096,352.1
4625001001.0,J2E_0782,366.82
4625001001.0,J2E_0235,371.81
4625001001.0,J2E_0103,375.33
4625001001.0,J2E_0783,375.33
4625001001.0,J2E_0784,375.33
4625001001.0,J2E_0230,376.38
4625001001.0,J2E_0564,376.38
4625001001.0,J1_0018,390.17
4625001001.0,J2E_0335,391.35
4625001001.0,J2E_0329,411.08
4625001001.0,J2E_0186,415.39
4625001001.0,J2E_0211,415.39
4625001001.0,J2E_0375,417.96
4625001001.0,J2E_0174,427.53
4625001001.0,J2E_0323,431.87
4625001001.0,J2E_0099,431.99
4625001001.0,J2E_0218,435.63
4625001001.0,J2E_0187,436.85
4625001001.0,J2E_0231,441.01
4625001001.0,J2E_0094,449.91
4625001001.0,J2E_0101,450.57
4625001001.0,J2E_0779,450.57
4625001001.0,J2E_0226,450.79
4625001001.0,J1_0000,451.46
4625001001.0,J1_0061,463.42
4625001001.0,J2E_0188,468.32
4625001001.0,J1_0066,471.86
4625001001.0,J2E_0339,477.2
4625001001.0,J2E_0520,480.02
4625001001.0,J2E_0543,486.67
4625001001.0,J2E_0113,490.57
4625001001.0,J2E_0221,494.08
4625001001.0,J2E_0090,500.97
4625001001.0,J2E_0210,501.39
4625001001.0,J1_0051,502.48
4625001001.0,J0_12,505.44
4625001001.0,J2E_0106,505.95
