cod_ine,n_paradas_emt,n_lineas_emt_unicas,n_bocas_metro,n_lineas_metro_unicas,n_comercios,n_monumentos,pct_area_turistica
4625001001,0,0,0,0,61,17,7.364408245283895
4625001002,0,0,0,0,62,12,12.09374089332706
4625001003,3,10,0,0,20,10,20.744672185209676
4625001005,1,4,0,0,24,14,0.9416153901302252
4625001007,0,0,0,0,22,5,9.7655897649612
4625001008,0,0,0,0,4,4,13.823121844844277
4625001009,4,15,1,4,10,3,48.595633224403706
4625001010,2,3,0,0,10,4,44.22727115695563
4625001011,0,0,0,0,42,6,27.40685258113294
4625001012,1,1,0,0,4,3,10.742162526036012
4625001013,1,2,0,0,26,2,2.200352707507661
4625001014,0,0,0,0,39,9,2.3620573572497103
4625001017,0,0,0,0,8,2,13.014686214978886
4625001019,2,2,0,0,32,2,0.3856542048982107
4625001022,1,3,0,0,7,0,2.344894889495904
4625001023,1,5,0,0,20,0,0.0
4625001024,2,3,0,0,48,6,12.06514011430666
4625001025,0,0,0,0,86,3,2.774600403593951
4625001026,2,5,0,0,62,1,0.0
4625001028,4,4,0,0,104,3,0.0
4625001030,3,15,0,0,38,3,8.93788434780421
4625001031,6,16,2,4,53,3,5.795036768810098
4625001032,9,31,2,3,94,1,0.032043785871136
4625001034,3,11,0,0,48,6,30.26554573671528
4625002001,1,3,1,3,13,1,20.72214488389733
4625002003,2,5,0,0,2,0,1.0573490981710765
4625002004,1,2,0,0,8,1,0.0
4625002006,2,3,0,0,13,0,0.0
4625002008,1,5,0,0,16,0,0.0
4625002009,1,1,0,0,7,0,0.0
4625002010,1,3,0,0,7,0,0.0
4625002013,1,5,0,0,27,1,0.0
4625002014,1,1,0,0,11,0,0.0
4625002015,0,0,0,0,22,0,0.0
4625002016,4,8,0,0,7,0,0.0
4625002018,1,2,0,0,10,0,0.0
4625002019,2,2,0,0,28,0,0.0
4625002020,1,1,0,0,4,0,0.0
4625002021,3,6,0,0,6,0,0.0
4625002023,1,2,0,0,4,0,0.0
4625002024,0,0,0,0,4,0,0.0
4625002025,1,1,0,0,10,0,0.0
4625002026,0,0,0,0,20,0,0.0
4625002030,1,1,0,0,6,0,0.0
4625002031,0,0,0,0,7,0,0.0
4625002032,3,2,0,0,0,0,49.60749798159025
4625002033,5,14,0,0,28,2,0.0
4625002035,0,0,0,0,17,1,0.0
4625002036,0,0,0,0,13,0,0.0
4625002037,2,5,0,0,43,2,3.994882306379623
4625002039,5,10,1,4,16,1,21.64323716201709
4625002041,3,13,0,0,10,0,22.590593474074502
4625002042,1,1,0,0,14,0,0.0
4625002043,2,5,0,0,6,0,0.0
4625002044,0,0,0,0,6,0,0.0
4625002045,0,0,0,0,6,0,24.086202634567336
4625002046,2,6,0,0,11,0,17.533860150211268
4625002047,1,4,0,0,14,0,0.0
4625002050,2,6,0,0,11,0,0.0
4625002051,0,0,0,0,5,0,0.0
4625002053,1,1,0,0,13,0,0.0
4625002054,2,3,0,0,1,0,0.0
4625002055,3,5,0,0,8,1,18.30614149095473
4625002057,3,6,0,0,1,0,25.04923298252144
4625003001,2,11,1,4,13,0,0.0
4625003002,2,7,0,0,15,0,0.0
4625003004,1,7,0,0,7,1,0.0
4625003007,1,6,1,1,5,1,52.21865075260928
4625003008,2,2,0,0,7,2,32.05138498737553
4625003010,2,3,3,4,26,1,4.773879603870306
4625003013,3,13,1,1,41,1,0.0
4625003015,2,11,0,0,13,0,0.0
4625003017,0,0,0,0,14,0,0.0
4625003018,1,4,0,0,4,0,8.138448429966088
4625003019,1,3,0,0,3,0,5.826675893173739
4625003020,0,0,0,0,1,0,0.5294380493241148
4625003021,3,8,0,0,6,0,2.3892929879560807
4625003023,2,7,0,0,2,1,23.45322126219077
4625003025,2,2,0,0,0,1,35.36141819589879
4625003026,1,1,0,0,2,0,0.0
4625003027,4,5,0,0,8,1,4.700392769399457
4625003029,0,0,0,0,2,0,0.0
4625003030,0,0,0,0,1,0,0.0
4625003032,1,3,0,0,3,0,0.0
4625003033,4,6,3,2,9,0,0.0
4625003034,3,11,1,1,9,0,8.305934574423167
4625003035,2,2,0,0,3,0,0.0
4625003036,0,0,0,0,2,0,0.0
4625003037,0,0,0,0,2,0,0.0
4625003038,0,0,0,0,4,1,0.0
4625003040,2,4,0,0,5,0,9.498036031870212
4625003041,3,12,0,0,14,1,0.0
4625003044,0,0,0,0,2,1,0.0
4625003046,1,1,0,0,3,0,0.0
4625003047,1,2,0,0,2,0,0.0
4625003048,0,0,0,0,4,0,0.0
4625003049,2,7,3,4,7,0,7.228993817519272
4625003050,1,6,1,4,9,0,0.0
4625003052,2,7,0,0,6,1,19.328104901021657
4625003053,0,0,0,0,13,0,0.0
4625003055,0,0,0,0,1,0,0.0
4625004001,16,13,3,1,57,1,16.30408985015629
4625004002,2,6,0,0,4,0,0.0
4625004003,0,0,0,0,2,1,6.709423282749122
4625004004,0,0,0,0,3,0,0.0
4625004005,4,8,0,0,17,0,9.073487516402269
4625004006,4,4,0,0,7,0,27.238341628017988
4625004007,1,1,0,0,1,0,28.8002931285266
4625004008,3,5,0,0,2,1,29.101929706516177
4625004009,0,0,0,0,0,0,1.4692771477946776
4625004010,1,1,0,0,1,0,0.0
4625004011,2,3,0,0,0,0,2.4814405630875846
4625004012,2,5,0,0,6,0,0.0
4625004014,0,0,0,0,6,0,0.0
4625004015,1,2,0,0,3,0,0.0
4625004016,1,1,0,0,14,0,0.0
4625004017,0,0,0,0,5,0,4.551256247842899
4625004018,2,1,0,0,3,0,0.9001814133808649
4625004019,2,3,0,0,0,0,20.03193140862702
4625004020,2,2,0,0,21,0,12.055018168802908
4625004021,3,2,0,0,6,0,26.38295279242512
4625004022,1,5,2,1,2,0,5.333586706000313
4625004023,1,2,0,0,0,0,40.89808476234223
4625004024,4,5,1,1,19,0,0.0
4625004025,6,4,0,0,12,2,32.83439326174189
4625004026,4,5,0,0,4,0,26.48300019837383
4625004027,1,1,0,0,1,0,8.795431982019025
4625004028,2,4,0,0,3,0,3.1009767831148403
4625004029,1,2,0,0,4,0,5.210853268555105
4625004030,1,1,0,0,8,0,6.63082012692327
4625005001,3,7,0,0,0,0,13.288173071238829
4625005002,1,2,1,1,2,0,31.825407177016352
4625005003,0,0,1,1,1,0,0.0
4625005004,2,6,0,0,0,0,4.647397329587564
4625005005,5,4,0,0,2,0,2.730592433287703
4625005006,0,0,0,0,3,0,0.0
4625005007,2,4,0,0,3,0,17.332509179180285
4625005008,1,1,0,0,2,0,5.836768202602763
4625005009,0,0,0,0,2,0,47.572658294360856
4625005010,2,8,0,0,4,1,52.4030860520014
4625005011,2,7,0,0,3,0,45.13960447955351
4625005013,0,0,0,0,1,0,1.478146605709847
4625005014,1,1,0,0,3,1,0.5740322753291606
4625005015,2,3,0,0,4,0,8.784299425834185
4625005016,1,2,0,0,1,0,0.0
4625005017,3,7,1,1,4,3,13.343071687188834
4625005018,2,2,0,0,8,0,0.0
4625005021,1,1,0,0,16,0,0.0
4625005022,1,2,1,2,1,0,0.0
4625005025,9,15,0,0,19,2,57.97152952345436
4625005027,0,0,0,0,10,1,0.0
4625005028,0,0,0,0,7,3,32.440062245277026
4625005029,1,4,0,0,0,0,2.43380955150049
4625005031,1,4,0,0,2,0,0.0
4625005033,1,1,0,0,0,0,0.0
4625005034,0,0,0,0,0,0,13.828671496325482
4625005036,1,3,0,0,0,0,15.521634767060664
4625005037,0,0,1,1,2,0,0.0
4625005038,0,0,0,0,4,0,0.0
4625005039,2,3,0,0,3,0,8.249292743149432
4625005040,0,0,0,0,4,0,0.0
4625005041,1,3,0,0,2,1,0.0
4625005042,2,5,0,0,4,1,2.061712252497663
4625005043,2,5,0,0,1,0,0.0
4625005044,0,0,0,0,4,0,0.0
4625006001,1,8,1,4,14,3,28.898062422115288
4625006002,4,13,0,0,11,1,9.072909850100636
4625006003,0,0,0,0,8,1,0.0
4625006004,4,7,2,2,8,0,2.3852068730523697
4625006006,2,3,0,0,1,1,18.305067014649197
4625006007,6,10,1,4,2,4,19.400556637087583
