cod_ine,FP,n_lineas_emt_unicas_log_norm,n_comercios_log_norm,n_monumentos_log_norm,pct_area_turistica_log_norm
4625001001,0.60194,0.0,0.886801,1.0,0.520961
4625001002,0.602133,0.0,0.890239,0.887412,0.63088
4625001003,0.732743,0.691886,0.654179,0.829615,0.755292
4625001005,0.563924,0.464386,0.691642,0.936921,0.162745
4625001007,0.469123,0.0,0.673726,0.619906,0.582861
4625001008,0.390989,0.0,0.345821,0.556827,0.661308
4625001009,0.688098,0.8,0.515238,0.479625,0.95753
4625001010,0.601745,0.4,0.515238,0.556827,0.934915
4625001011,0.575564,0.0,0.808172,0.673239,0.820845
4625001012,0.407401,0.2,0.345821,0.479625,0.604158
4625001013,0.422646,0.316993,0.708179,0.380094,0.285319
4625001014,0.47167,0.0,0.792632,0.79664,0.297409
4625001017,0.374941,0.0,0.472119,0.380094,0.647552
4625001019,0.382096,0.316993,0.751297,0.380094,0.080002
4625001022,0.285741,0.4,0.446811,0.0,0.296154
4625001023,0.292793,0.516993,0.654179,0.0,0.0
4625001024,0.634955,0.4,0.836238,0.673239,0.630344
4625001025,0.441254,0.0,0.959593,0.479625,0.325798
4625001026,0.411761,0.516993,0.890239,0.239812,0.0
4625001028,0.486003,0.464386,1.0,0.479625,0.0
4625001030,0.657514,0.8,0.787192,0.479625,0.563238
4625001031,0.656057,0.817493,0.857116,0.479625,0.469994
4625001032,0.556511,1.0,0.978495,0.239812,0.007736
4625001034,0.767708,0.716993,0.836238,0.673239,0.844364
4625002001,0.490476,0.4,0.567056,0.239812,0.755038
4625002003,0.2325,0.516993,0.23606,0.0,0.176946
4625002004,0.257231,0.316993,0.472119,0.239812,0.0
4625002006,0.241764,0.4,0.567056,0.0,0.0
4625002008,0.281442,0.516993,0.608775,0.0,0.0
4625002009,0.161703,0.2,0.446811,0.0,0.0
4625002010,0.211703,0.4,0.446811,0.0,0.0
4625002013,0.368199,0.516993,0.715993,0.239812,0.0
4625002014,0.183484,0.2,0.533934,0.0,0.0
4625002015,0.168432,0.0,0.673726,0.0,0.0
4625002016,0.270199,0.633985,0.446811,0.0,0.0
4625002018,0.208058,0.316993,0.515238,0.0,0.0
4625002019,0.260132,0.316993,0.723533,0.0,0.0
4625002020,0.136455,0.2,0.345821,0.0,0.0
4625002021,0.244898,0.561471,0.418119,0.0,0.0
4625002023,0.165704,0.316993,0.345821,0.0,0.0
4625002024,0.086455,0.0,0.345821,0.0,0.0
4625002025,0.17881,0.2,0.515238,0.0,0.0
4625002026,0.163545,0.0,0.654179,0.0,0.0
