cod_ine,coddistrit,pob_total,pob_2023,pct_65mas_2023,pct_65mas_2024,pct_65mas_2025,renta_pc,n_edificios,pct_anterior_1980,pct_posterior_2010,suhi_2023,suhi_2024,suhi_2025,ndvi_medio_2023,ndvi_medio_2024,ndvi_medio_2025,suhi_ref,ndvi_ref,pct_65mas,pct_65mas_hvi,renta_pc_hvi,suhi_ref_hvi,ndvi_ref_hvi,pct_65mas_norm,renta_pc_norm,suhi_ref_norm,ndvi_ref_norm,HVI,HVI_quintil,n_paradas_emt,n_lineas_emt_unicas,n_bocas_metro,n_lineas_metro_unicas,n_comercios,n_monumentos,pct_area_turistica,n_lineas_emt_unicas_norm,n_lineas_metro_unicas_norm,n_comercios_norm,n_monumentos_norm,pct_area_turistica_norm,visitantes_log_norm,FP,n_lineas_emt_unicas_log_norm,n_comercios_log_norm,n_monumentos_log_norm,pct_area_turistica_log_norm,FP_opt2,wk
4625001001,1,890,858,21.5618,21.4204,22.2472,23395.0,145,80.0,4.8276,3.264713802466129,4.325677847108223,3.5523025306877605,0.1404688725592121,0.1395802161307084,0.1473683933331109,3.7142,0.1404688725592121,21.5618,21.5618,23395.0,3.7142,0.1404688725592121,0.445274,0.449344,0.757246,0.88336,0.633806,Q2 bajo,0,0,0,0,61,17,7.364408245283895,0.0,0.0,0.586538,1.0,0.127035,0.916859,0.60194,0.0,0.886801,1.0,0.520961,0.60194,0.766967
4625001002,1,1073,1071,17.6471,17.9063,18.1733,21118.0,153,88.8889,1.3072,3.240769411259105,5.4687296332645845,4.120045507788175,0.1395927045314379,0.1348201651154358,0.1424727030734007,4.2765,0.1395927045314379,17.6471,17.6471,21118.0,4.2765,0.1395927045314379,0.339781,0.525004,0.795763,0.885222,0.636442,Q2 bajo,0,0,0,0,62,12,12.09374089332706,0.0,0.0,0.596154,0.705882,0.208615,0.0,0.602133,0.0,0.890239,0.887412,0.63088,0.602133,0.772277
4625001003,1,1254,1155,20.6061,19.8028,20.0159,23732.0,114,85.0877,0.8772,2.1027994122917444,3.228936745370336,3.43917438476514,0.2105196655132402,0.2008258872777235,0.2093832741673366,2.9236,0.2105196655132402,20.6061,20.6061,23732.0,2.9236,0.2105196655132402,0.41952,0.438146,0.70309,0.734488,0.573811,Q1 muy bajo,3,10,0,0,20,10,20.744672185209676,0.322581,0.0,0.192308,0.588235,0.357842,0.657772,0.732743,0.691886,0.654179,0.829615,0.755292,0.732743,0.712974
4625001005,1,1186,1081,26.642,26.7361,27.403,22921.0,158,87.3418,0.0,3.618368053269021,3.9242325164849983,4.084722399591593,0.1384201378076228,0.1349766490338959,0.1432417926206455,3.8758,0.1384201378076228,26.642,26.642,22921.0,3.8758,0.1384201378076228,0.582175,0.465094,0.768315,0.887714,0.675824,Q2 bajo,1,4,0,0,24,14,0.9416153901302252,0.129032,0.0,0.230769,0.823529,0.016243,0.0,0.563924,0.464386,0.691642,0.936921,0.162745,0.563924,0.831285
4625001007,1,857,810,21.6049,22.8221,22.0537,26247.0,120,95.8333,0.0,4.726143859601047,3.958766507650395,4.235830005218767,0.1299322129358545,0.1263077503747192,0.1322440637444644,4.3069,0.1299322129358545,21.6049,21.6049,26247.0,4.3069,0.1299322129358545,0.446436,0.354577,0.797845,0.905753,0.626153,Q2 bajo,0,0,0,0,22,5,9.7655897649612,0.0,0.0,0.211538,0.294118,0.168455,0.0,0.469123,0.0,0.673726,0.619906,0.582861,0.469123,0.686143
4625001008,1,1054,989,20.3236,20.4122,19.9241,24242.0,113,92.0354,0.0,2.8470385770710176,2.7271450780106976,3.5214559380075685,0.2150241843260397,0.2113207539425419,0.2149837789822623,3.0319,0.2150241843260397,20.3236,20.3236,24242.0,3.0319,0.2150241843260397,0.411907,0.4212,0.710508,0.724915,0.567132,Q1 muy bajo,0,0,0,0,4,4,13.823121844844277,0.0,0.0,0.038462,0.235294,0.238447,0.0,0.390989,0.0,0.345821,0.556827,0.661308,0.390989,0.530748
4625001009,1,1140,1080,25.8333,25.4991,25.5263,36918.0,32,84.375,6.25,2.912642433377353,2.3172979617361675,3.361287102022547,0.3146281436924145,0.2974734835543237,0.306903014512803,2.8637,0.3146281436924145,25.8333,25.8333,36918.0,2.8637,0.3146281436924145,0.560382,0.0,0.698987,0.513236,0.443151,Q1 muy bajo,4,15,1,4,10,3,48.595633224403706,0.483871,1.0,0.096154,0.176471,0.838267,0.65114,0.688098,0.8,0.515238,0.479625,0.95753,0.688098,0.432425
4625001010,1,1073,1062,17.6083,18.6002,18.7325,17943.0,120,76.6667,5.0,2.641243484690232,2.521117779100691,3.6257992352821047,0.3333931856790059,0.3180062875880199,0.3283250642105874,2.9294,0.3333931856790059,17.6083,17.6083,17943.0,2.9294,0.3333931856790059,0.338735,0.630503,0.703487,0.473357,0.53652,Q1 muy bajo,2,3,0,0,10,4,44.22727115695563,0.096774,0.0,0.096154,0.235294,0.762914,0.0,0.601745,0.4,0.515238,0.556827,0.934915,0.601745,0.57442
4625001011,1,1513,1464,20.0137,20.2685,19.5638,16854.0,170,88.2353,0.0,2.1906634776170075,2.830897053136596,3.7779543567998055,0.245488569584985,0.2268186467733032,0.2158765050557467,2.9332,0.245488569584985,20.0137,20.0137,16854.0,2.9332,0.245488569584985,0.403556,0.666689,0.703748,0.660172,0.608541,Q1 muy bajo,0,0,0,0,42,6,27.40685258113294,0.0,0.0,0.403846,0.352941,0.472764,0.844688,0.575564,0.0,0.808172,0.673239,0.820845,0.575564,0.703944
4625001012,1,906,888,10.2477,10.6215,11.2583,17403.0,93,80.6452,5.3763,3.645909697808562,4.874135283458808,3.98780659786744,0.2010926128788806,0.1797411549324784,0.2065761210618261,4.1693,0.2010926128788806,10.2477,10.2477,17403.0,4.1693,0.2010926128788806,0.140383,0.648447,0.78842,0.754522,0.582943,Q1 muy bajo,1,1,0,0,4,3,10.742162526036012,0.032258,0.0,0.038462,0.176471,0.185301,0.0,0.407401,0.2,0.345821,0.479625,0.604158,0.407401,0.570142
4625001013,1,1489,1464,22.4727,22.1774,22.2297,18543.0,68,82.3529,0.0,3.95199634283701,5.357963509699987,4.221366184515884,0.1575463229225651,0.145091099974292,0.1514073642925401,4.5104,0.1575463229225651,22.4727,22.4727,18543.0,4.5104,0.1575463229225651,0.469821,0.610567,0.811785,0.847067,0.68481,Q3 medio,1,2,0,0,26,2,2.200352707507661,0.064516,0.0,0.25,0.117647,0.037956,0.0,0.422646,0.316993,0.708179,0.380094,0.285319,0.422646,0.779193
4625001014,1,1481,1236,15.1294,13.4965,13.842,17675.0,131,75.5725,3.0534,3.055923616475985,4.436114690939013,3.919554150238452,0.2033805424037344,0.1844659608183053,0.205513104911803,3.8039,0.2033805424037344,15.1294,15.1294,17675.0,3.8039,0.2033805424037344,0.271934,0.639409,0.76339,0.74966,0.606098,Q1 muy bajo,0,0,0,0,39,9,2.3620573572497103,0.0,0.0,0.375,0.529412,0.040745,0.0,0.47167,0.0,0.792632,0.79664,0.297409,0.47167,0.64773
4625001017,1,744,711,28.27,27.4105,27.1505,19447.0,38,78.9474,0.0,3.433452492981649,4.4077914601106265,3.808702099582052,0.1876371244023573,0.1611715522461561,0.1792523191378134,3.8833,0.1876371244023573,28.27,28.27,19447.0,3.8833,0.1876371244023573,0.626046,0.580528,0.768829,0.783118,0.68963,Q3 medio,0,0,0,0,8,2,13.014686214978886,0.0,0.0,0.076923,0.117647,0.224501,0.800419,0.374941,0.0,0.472119,0.380094,0.647552,0.374941,0.765135
4625001019,1,2645,2364,11.8866,11.185,11.1153,16623.0,187,75.9358,4.8128,3.528146285371333,3.525986501810282,3.7030232532308127,0.1588854599291788,0.1461985808763689,0.1539954785678329,3.5857,0.1588854599291788,11.8866,11.8866,16623.0,3.5857,0.1588854599291788,0.184548,0.674365,0.748443,0.844221,0.612894,Q1 muy bajo,2,2,0,0,32,2,0.3856542048982107,0.064516,0.0,0.307692,0.117647,0.006652,0.835431,0.382096,0.316993,0.751297,0.380094,0.080002,0.382096,0.616876
4625001022,1,1501,1487,25.5548,25.6427,25.7828,18982.0,75,65.3333,6.6667,4.084064894902643,3.1016145746863217,3.168811899660745,0.1761283150943239,0.1648809928038566,0.1712814689463543,3.4515,0.1761283150943239,25.5548,25.5548,18982.0,3.4515,0.1761283150943239,0.552877,0.595979,0.739251,0.807577,0.673921,Q2 bajo,1,3,0,0,7,0,2.344894889495904,0.096774,0.0,0.067308,0.0,0.040449,0.0,0.285741,0.4,0.446811,0.0,0.296154,0.285741,0.689946
4625001023,1,1258,961,15.6087,13.5204,12.9571,19106.0,78,79.4872,6.4103,3.838555631586131,3.2140737676626885,3.366097621334013,0.1397114672618279,0.1334563656498178,0.1431534502096848,3.4729,0.1397114672618279,15.6087,15.6087,19106.0,3.4729,0.1397114672618279,0.28485,0.591859,0.740717,0.88497,0.625599,Q2 bajo,1,5,0,0,20,0,0.0,0.16129,0.0,0.192308,0.0,0.0,0.0,0.292793,0.516993,0.654179,0.0,0.0,0.292793,0.597844
4625001024,1,1237,1197,18.2957,18.3657,18.4317,17828.0,142,85.2113,2.8169,3.579443890906242,3.962660269700974,3.988992228642855,0.1454205566906668,0.132383084315176,0.1431352639441608,3.8437,0.1454205566906668,18.2957,18.2957,17828.0,3.8437,0.1454205566906668,0.35726,0.634325,0.766116,0.872837,0.657634,Q2 bajo,2,3,0,0,48,6,12.06514011430666,0.096774,0.0,0.461538,0.352941,0.208122,0.899092,0.634955,0.4,0.836238,0.673239,0.630344,0.634955,0.83043
4625001025,1,1097,1046,17.9732,17.7358,17.1376,20341.0,237,92.4051,0.8439,3.590519205111776,4.094202512996313,3.938082522284625,0.1376331730525944,0.1311024290584452,0.1421013782360249,3.8743,0.1376331730525944,17.9732,17.9732,20341.0,3.8743,0.1376331730525944,0.348569,0.550822,0.768212,0.889387,0.639248,Q2 bajo,0,0,0,0,86,3,2.774600403593951,0.0,0.0,0.826923,0.176471,0.047861,0.794371,0.441254,0.0,0.959593,0.479625,0.325798,0.441254,0.698265
4625001026,1,1718,1637,16.7379,16.5468,16.3562,21540.0,152,84.2105,5.9211,3.287023903009936,3.165048258853996,3.415264593026798,0.1274236947285324,0.121308475474494,0.1274793851441648,3.2891,0.1274236947285324,16.7379,16.7379,21540.0,3.2891,0.1274236947285324,0.31528,0.510982,0.728126,0.911084,0.616368,Q1 muy bajo,2,5,0,0,62,1,0.0,0.16129,0.0,0.596154,0.058824,0.0,0.667651,0.411761,0.516993,0.890239,0.239812,0.0,0.411761,0.638419
4625001028,1,1033,839,24.9106,23.7613,24.5886,24405.0,122,87.7049,1.6393,4.07115742357401,3.374073911873397,3.549761348831118,0.143901355724528,0.1385933241403876,0.1471441597525321,3.665,0.143901355724528,24.9106,24.9106,24405.0,3.665,0.143901355724528,0.535517,0.415783,0.753875,0.876066,0.64531,Q2 bajo,4,4,0,0,104,3,0.0,0.129032,0.0,1.0,0.176471,0.0,0.903734,0.486003,0.464386,1.0,0.479625,0.0,0.486003,0.732387
4625001030,1,890,882,27.551,27.1111,27.4157,34342.0,87,82.7586,0.0,4.746192850534814,3.922233432815023,4.13953000338865,0.1604604985084858,0.1508947571814102,0.1613920057218653,4.2693,0.1604604985084858,27.551,27.551,34342.0,4.2693,0.1604604985084858,0.606671,0.085596,0.795269,0.840874,0.582102,Q1 muy bajo,3,15,0,0,38,3,8.93788434780421,0.483871,0.0,0.365385,0.176471,0.154177,0.0,0.657514,0.8,0.787192,0.479625,0.563238,0.657514,0.69217
4625001031,1,916,837,24.8507,23.6842,23.0349,30086.0,103,83.4951,0.9709,6.2254661666025655,4.469977727184572,4.418033110106074,0.1142840730982668,0.11236961482616,0.122570769805227,5.0378,0.1142840730982668,24.8507,24.8507,30086.0,5.0378,0.1142840730982668,0.533903,0.227014,0.847911,0.939008,0.636959,Q2 bajo,6,16,2,4,53,3,5.795036768810098,0.516129,1.0,0.509615,0.176471,0.099963,0.0,0.656057,0.817493,0.857116,0.479625,0.469994,0.656057,0.799967
4625001032,1,1380,1465,26.8259,25.9557,26.4493,25781.0,102,90.1961,0.9804,5.223854005928772,3.625663271461056,3.781801590996837,0.1319527851352162,0.1263062661817513,0.1352629469436946,4.2104,0.1319527851352162,26.8259,26.8259,25781.0,4.2104,0.1319527851352162,0.587131,0.370061,0.791235,0.901459,0.662472,Q2 bajo,9,31,2,3,94,1,0.032043785871136,1.0,0.75,0.903846,0.058824,0.000553,0.692523,0.556511,1.0,0.978495,0.239812,0.007736,0.556511,0.801207
4625001034,1,1819,1750,22.9714,22.1302,22.4299,22812.0,95,84.2105,0.0,4.02666329945222,2.9868817231357743,3.0497985505499594,0.1937776284594932,0.1837637041874351,0.1908873144064424,3.3544,0.1937776284594932,22.9714,22.9714,22812.0,3.3544,0.1937776284594932,0.48326,0.468716,0.732599,0.770068,0.613661,Q1 muy bajo,3,11,0,0,48,6,30.26554573671528,0.354839,0.0,0.461538,0.352941,0.522076,0.820568,0.767708,0.716993,0.836238,0.673239,0.844364,0.767708,0.809096
