cod_ine,coddistrit,pct_65mas_norm,renta_pc_norm,suhi_ref_norm,ndvi_ref_norm,HVI,HVI_quintil
4625001001,01,0.445274,0.449344,0.757246,0.88336,0.633806,Q2 bajo
4625001002,01,0.339781,0.525004,0.795763,0.885222,0.636442,Q2 bajo
4625001003,01,0.41952,0.438146,0.70309,0.734488,0.573811,Q1 muy bajo
4625001005,01,0.582175,0.465094,0.768315,0.887714,0.675824,Q2 bajo
4625001007,01,0.446436,0.354577,0.797845,0.905753,0.626153,Q2 bajo
4625001008,01,0.411907,0.4212,0.710508,0.724915,0.567132,Q1 muy bajo
4625001009,01,0.560382,0.0,0.698987,0.513236,0.443151,Q1 muy bajo
4625001010,01,0.338735,0.630503,0.703487,0.473357,0.53652,Q1 muy bajo
4625001011,01,0.403556,0.666689,0.703748,0.660172,0.608541,Q1 muy bajo
4625001012,01,0.140383,0.648447,0.78842,0.754522,0.582943,Q1 muy bajo
4625001013,01,0.469821,0.610567,0.811785,0.847067,0.68481,Q3 medio
4625001014,01,0.271934,0.639409,0.76339,0.74966,0.606098,Q1 muy bajo
4625001017,01,0.626046,0.580528,0.768829,0.783118,0.68963,Q3 medio
4625001019,01,0.184548,0.674365,0.748443,0.844221,0.612894,Q1 muy bajo
4625001022,01,0.552877,0.595979,0.739251,0.807577,0.673921,Q2 bajo
4625001023,01,0.28485,0.591859,0.740717,0.88497,0.625599,Q2 bajo
4625001024,01,0.35726,0.634325,0.766116,0.872837,0.657634,Q2 bajo
4625001025,01,0.348569,0.550822,0.768212,0.889387,0.639248,Q2 bajo
4625001026,01,0.31528,0.510982,0.728126,0.911084,0.616368,Q1 muy bajo
4625001028,01,0.535517,0.415783,0.753875,0.876066,0.64531,Q2 bajo
4625001030,01,0.606671,0.085596,0.795269,0.840874,0.582102,Q1 muy bajo
4625001031,01,0.533903,0.227014,0.847911,0.939008,0.636959,Q2 bajo
4625001032,01,0.587131,0.370061,0.791235,0.901459,0.662472,Q2 bajo
4625001034,01,0.48326,0.468716,0.732599,0.770068,0.613661,Q1 muy bajo
4625002001,02,0.600392,0.47257,0.830752,0.921039,0.706188,Q3 medio
4625002003,02,0.512067,0.522213,0.869886,0.917964,0.705532,Q3 medio
4625002004,02,0.475491,0.574281,0.847082,0.798094,0.673737,Q2 bajo
4625002006,02,0.47486,0.582223,0.88999,0.87577,0.705711,Q3 medio
4625002008,02,0.443983,0.538561,0.846315,0.900925,0.682446,Q3 medio
4625002009,02,0.327094,0.555807,0.894963,0.91958,0.674361,Q2 bajo
4625002010,02,0.432727,0.608739,0.886873,0.916849,0.711297,Q4 alto
4625002013,02,0.352166,0.625719,0.867844,0.925203,0.692733,Q3 medio
4625002014,02,0.403826,0.45805,0.825334,0.899387,0.646649,Q2 bajo
4625002015,02,0.272177,0.616348,0.886641,0.904338,0.669876,Q2 bajo
4625002016,02,0.468134,0.469713,0.846822,0.869615,0.663571,Q2 bajo
4625002018,02,0.662523,0.608174,0.889312,0.883755,0.760941,Q5 muy alto
4625002019,02,0.342988,0.64097,0.898977,0.883335,0.691568,Q3 medio
4625002020,02,0.385048,0.605748,0.756417,0.632935,0.595037,Q1 muy bajo
4625002021,02,0.34703,0.585247,0.84961,0.919058,0.675236,Q2 bajo
4625002023,02,0.406819,0.593122,0.919767,0.86778,0.696872,Q3 medio
4625002024,02,0.419701,0.61482,0.899423,0.921693,0.713909,Q4 alto
4625002025,02,0.337922,0.678186,0.915116,0.860417,0.69791,Q3 medio
4625002026,02,0.329212,0.621266,0.894895,0.896707,0.68552,Q3 medio
4625002030,02,0.395922,0.673534,0.838547,0.905704,0.703427,Q3 medio
4625002031,02,0.303787,0.64735,0.844582,0.919864,0.678896,Q2 bajo
4625002032,02,0.604523,0.661106,0.821902,0.577915,0.666362,Q2 bajo
4625002033,02,0.581253,0.147865,0.803476,0.835704,0.592075,Q1 muy bajo
4625002035,02,0.577556,0.0,0.800195,0.868909,0.561665,Q1 muy bajo
4625002036,02,0.600758,0.0,0.847096,0.934623,0.595619,Q1 muy bajo
4625002037,02,0.530171,0.147898,0.824662,0.906673,0.602351,Q1 muy bajo
4625002039,02,0.604903,0.060076,0.747532,0.64329,0.51395,Q1 muy bajo
4625002041,02,0.590559,0.070909,0.693665,0.660637,0.503942,Q1 muy bajo
4625002042,02,0.589648,0.437747,0.833376,0.808896,0.667417,Q2 bajo
4625002043,02,0.61385,0.218275,0.76004,0.658772,0.562734,Q1 muy bajo
4625002044,02,0.56834,0.471175,0.807325,0.753288,0.650032,Q2 bajo
4625002045,02,0.521448,0.241801,0.737579,0.657627,0.539614,Q1 muy bajo
4625002046,02,0.569655,0.285097,0.721146,0.642565,0.554616,Q1 muy bajo
4625002047,02,0.524108,0.251736,0.764616,0.610199,0.537665,Q1 muy bajo
4625002050,02,0.525722,0.427679,0.825745,0.782524,0.640418,Q2 bajo
4625002051,02,0.504417,0.391992,0.864892,0.85859,0.654973,Q2 bajo
4625002053,02,0.453006,0.453697,0.868701,0.790469,0.641468,Q2 bajo
4625002054,02,0.520222,0.468649,0.885079,0.883724,0.689418,Q3 medio
4625002055,02,0.538455,0.401329,0.76587,0.797385,0.62576,Q2 bajo
4625002057,02,0.508928,0.450739,0.763616,0.69029,0.603393,Q1 muy bajo
4625003001,03,0.533979,0.55378,0.799729,0.868479,0.688992,Q3 medio
4625003002,03,0.407976,0.566838,0.802496,0.841555,0.654716,Q2 bajo
4625003004,03,0.35817,0.626782,0.777158,0.865668,0.656944,Q2 bajo
4625003007,03,0.476997,0.55152,0.581792,0.318885,0.482298,Q1 muy bajo
4625003008,03,0.343063,0.615351,0.652065,0.503693,0.528543,Q1 muy bajo
4625003010,03,0.359472,0.663732,0.876215,0.964426,0.715961,Q4 alto
4625003013,03,0.480137,0.545174,0.862043,0.94181,0.707291,Q3 medio
4625003015,03,0.439278,0.531517,0.782035,0.819953,0.643196,Q2 bajo
4625003017,03,0.440343,0.636518,0.844205,0.842178,0.690811,Q3 medio
4625003018,03,0.435031,0.601462,0.783652,0.61374,0.608471,Q1 muy bajo
4625003019,03,0.392618,0.550623,0.777391,0.779495,0.625032,Q2 bajo
4625003020,03,0.515544,0.530088,0.800886,0.82257,0.667272,Q2 bajo
4625003021,03,0.340832,0.677089,0.821594,0.783856,0.655843,Q2 bajo
4625003023,03,0.573484,0.547998,0.772069,0.626714,0.630066,Q2 bajo
4625003025,03,0.49699,0.64941,0.845541,0.648379,0.66008,Q2 bajo
4625003026,03,0.598109,0.585911,0.823402,0.872427,0.719962,Q4 alto
4625003027,03,0.576147,0.583884,0.799968,0.771271,0.682818,Q3 medio
4625003029,03,0.444549,0.637116,0.834609,0.929551,0.711456,Q4 alto
4625003030,03,0.423859,0.603024,0.821984,0.866311,0.678794,Q2 bajo
4625003032,03,0.491061,0.730852,0.866105,0.945186,0.758301,Q5 muy alto
4625003033,03,0.522415,0.536468,1.0,0.931743,0.747656,Q5 muy alto
4625003034,03,0.593458,0.443828,0.816682,0.768638,0.655652,Q2 bajo
4625003035,03,0.568892,0.510483,0.815997,0.788674,0.671012,Q2 bajo
4625003036,03,0.567065,0.564878,0.818408,0.77531,0.681415,Q3 medio
4625003037,03,0.534361,0.622628,0.842116,0.810085,0.702297,Q3 medio
4625003038,03,0.521399,0.449909,0.850685,0.847849,0.66746,Q2 bajo
4625003040,03,0.398156,0.531683,0.786885,0.655913,0.593159,Q1 muy bajo
4625003041,03,0.332408,0.616548,0.763102,0.729749,0.610452,Q1 muy bajo
