coddistrit,nombre,HVI_medio,n_secciones,pob_total
01,CIUTAT VELLA,0.618641452410957,24.0,30154.0
02,L'EIXAMPLE,0.6473077202040364,40.0,45090.0
03,EXTRAMURS,0.6702357915591524,37.0,51156.0
04,CAMPANAR,0.6446873803592469,29.0,41587.0
05,LA SAIDIA,0.6806953195538057,35.0,48768.0
06,EL PLA DEL REAL,0.5904813050929201,23.0,31102.0
07,L'OLIVERETA,0.7072817955569187,35.0,52171.0
08,PATRAIX,0.6788488163932784,40.0,59927.0
09,JESUS,0.7226483147286822,38.0,54180.0
10,QUATRE CARRERES,0.6833578846505692,52.0,83078.0
11,POBLATS MARITIMS,0.7067694988942483,41.0,57427.0
12,CAMINS AL GRAU,0.6624576679949821,43.0,67755.0
13,ALGIROS,0.6764619073500808,28.0,36503.0
14,BENIMACLET,0.6811684778928884,21.0,28475.0
15,RASCANYA,0.6876431150956109,39.0,57891.0
16,BENICALAP,0.6875423095438281,32.0,51143.0
17,POBLATS DEL NORD,0.5685833399536097,6.0,6898.0
18,POBLATS DE L'OEST,0.7172089223805856,10.0,15576.0
19,POBLATS DEL SUD,0.5983047761167702,15.0,22677.0
