epsilon,estado,O1_pct,dist_media_m,n_J1,n_J2E,n_J2V,n_J3,n_sec_cub,gini,tiempo_s
0.0,Optimal,99.41,452.9,19,7,40,32,583,0.0042,0.7
0.02,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.6
0.04,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.6
0.06,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.6
0.08,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.7
0.1,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.6
0.12,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.6
0.14,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.6
0.16,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.6
0.18,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.7
0.2,Optimal,99.41,447.5,20,8,40,35,583,0.0042,0.6
