cod_ine,pct_65mas_2023,pct_65mas_2024,pct_65mas_2025
4625001001,21.5618,21.4204,22.2472
4625001002,17.6471,17.9063,18.1733
4625001003,20.6061,19.8028,20.0159
4625001005,26.642,26.7361,27.403
4625001007,21.6049,22.8221,22.0537
4625001008,20.3236,20.4122,19.9241
4625001009,25.8333,25.4991,25.5263
4625001010,17.6083,18.6002,18.7325
4625001011,20.0137,20.2685,19.5638
4625001012,10.2477,10.6215,11.2583
4625001013,22.4727,22.1774,22.2297
4625001014,15.1294,13.4965,13.842
4625001017,28.27,27.4105,27.1505
4625001019,11.8866,11.185,11.1153
4625001022,25.5548,25.6427,25.7828
4625001023,15.6087,13.5204,12.9571
4625001024,18.2957,18.3657,18.4317
4625001025,17.9732,17.7358,17.1376
4625001026,16.7379,16.5468,16.3562
4625001028,24.9106,23.7613,24.5886
4625001030,27.551,27.1111,27.4157
4625001031,24.8507,23.6842,23.0349
4625001032,26.8259,25.9557,26.4493
4625001034,22.9714,22.1302,22.4299
4625002001,27.318,26.2042,25.1916
4625002003,24.0404,22.4138,21.5455
4625002004,22.6831,21.6371,21.0814
4625002006,22.6597,23.5165,23.152
4625002008,21.5139,21.3509,21.713
4625002009,17.1763,17.0396,17.0483
4625002010,21.0962,21.5544,23.4555
4625002013,18.1067,17.5177,16.8421
4625002014,20.0237,21.5029,22.4037
4625002015,15.1384,15.1771,15.3469
4625002016,22.4101,21.4724,21.7802
4625002018,29.6236,29.3638,26.5029
4625002019,17.7661,17.3043,17.3142
4625002020,19.3269,19.6548,20.9647
4625002021,17.9161,17.9268,18.303
4625002023,20.1348,19.8529,19.3093
4625002024,20.6128,20.2703,20.8223
4625002025,17.5781,17.6697,15.9902
4625002026,17.2549,17.9463,16.8186
4625002030,19.7304,19.0998,19.2308
4625002031,16.3114,16.4995,16.2304
4625002032,27.4713,27.4487,27.3034
4625002033,26.6078,27.1482,27.7879
4625002035,26.4706,26.8984,28.3695
4625002036,27.3316,26.5031,26.3473
4625002037,24.7122,23.8342,24.8899
4625002039,27.4854,27.3537,27.3234
4625002041,26.9531,27.654,27.25
4625002042,26.9193,26.4925,25.1825
4625002043,27.8174,27.4756,26.7974
4625002044,26.1286,27.0123,27.0083
4625002045,24.3885,25.5666,25.8427
4625002046,26.1774,24.974,24.7379
4625002047,24.4872,24.3047,23.6257
4625002050,24.5471,23.6958,23.7555
4625002051,23.7565,22.8693,23.6248
4625002053,21.8487,21.3166,21.3983
4625002054,24.343,24.1611,25.4076
4625002055,25.0196,26.0,25.2847
4625002057,23.9239,24.1968,24.3665
4625003001,24.8535,26.0274,25.7525
4625003002,20.1777,19.3958,20.1791
4625003004,18.3295,17.7654,17.8223
4625003007,22.739,23.1552,23.3583
4625003008,17.7689,16.2348,16.2399
4625003010,18.3778,17.5401,17.2788
4625003013,22.8555,22.5148,21.9107
4625003015,21.3393,20.0666,20.2521
4625003017,21.3788,21.1051,20.2532
4625003018,21.1817,21.1207,21.5285
4625003019,19.6078,18.9573,18.693
4625003020,24.1694,23.8651,23.8065
4625003021,17.6861,18.2216,17.5352
4625003023,26.3195,26.5406,25.6887
4625003025,23.4809,22.7455,23.8579
4625003026,27.2333,27.7253,27.0202
4625003027,26.4183,26.2309,25.9448
4625003029,21.5349,21.2513,20.2467
4625003030,20.7671,21.2766,21.9982
4625003032,23.2609,21.0414,21.0309
4625003033,24.4244,23.3365,22.9896
4625003034,27.0607,26.0615,25.8411
4625003035,26.1491,26.4035,26.1364
4625003036,26.0813,25.3359,25.2212
4625003037,24.8677,23.5197,24.3822
4625003038,24.3867,25.1082,25.7703
4625003040,19.8133,20.1417,20.9889
4625003041,17.3735,16.8502,17.001
4625003044,27.5033,27.3139,27.204
4625003046,24.8521,24.881,24.4552
4625003047,26.9935,27.2241,26.9457
4625003048,27.2934,27.9752,28.5634
4625003049,23.3653,23.1986,23.2935
4625003050,27.1815,26.1004,25.6469
4625003052,23.9196,23.477,23.6355
4625003053,21.5507,20.3371,20.2658
4625003055,34.6253,33.0827,32.1951
4625004001,28.8056,29.0625,29.1381
4625004002,24.8684,23.0668,23.0971
4625004003,24.5825,25.3681,25.3442
