cod_ine,renta_pc
4625001001,23395.0
4625001002,21118.0
4625001003,23732.0
4625001005,22921.0
4625001007,26247.0
4625001008,24242.0
4625001009,36918.0
4625001010,17943.0
4625001011,16854.0
4625001012,17403.0
4625001013,18543.0
4625001014,17675.0
4625001017,19447.0
4625001019,16623.0
4625001022,18982.0
4625001023,19106.0
4625001024,17828.0
4625001025,20341.0
4625001026,21540.0
4625001028,24405.0
4625001030,34342.0
4625001031,30086.0
4625001032,25781.0
4625001034,22812.0
4625002001,22696.0
4625002003,21202.0
4625002004,19635.0
4625002006,19396.0
4625002008,20710.0
4625002009,20191.0
4625002010,18598.0
4625002013,18087.0
4625002014,23133.0
4625002015,18369.0
4625002016,22782.0
4625002018,18615.0
4625002019,17628.0
4625002020,18688.0
4625002021,19305.0
4625002023,19068.0
4625002024,18415.0
4625002025,16508.0
4625002026,18221.0
4625002030,16648.0
4625002031,17436.0
4625002032,17022.0
4625002033,32468.0
4625002035,36918.0
4625002036,36918.0
4625002037,32467.0
4625002039,35110.0
4625002041,34784.0
4625002042,23744.0
4625002043,30349.0
4625002044,22738.0
4625002045,29641.0
4625002046,28338.0
4625002047,29342.0
4625002050,24047.0
4625002051,25121.0
4625002053,23264.0
4625002054,22814.0
4625002055,24840.0
4625002057,23353.0
4625003001,20252.0
4625003002,19859.0
4625003004,18055.0
4625003007,20320.0
4625003008,18399.0
4625003010,16943.0
4625003013,20511.0
4625003015,20922.0
4625003017,17762.0
4625003018,18817.0
4625003019,20347.0
4625003020,20965.0
4625003021,16541.0
4625003023,20426.0
4625003025,17374.0
4625003026,19285.0
4625003027,19346.0
4625003029,17744.0
4625003030,18770.0
4625003032,14923.0
4625003033,20773.0
4625003034,23561.0
4625003035,21555.0
4625003036,19918.0
4625003037,18180.0
4625003038,23378.0
4625003040,20917.0
4625003041,18363.0
4625003044,21389.0
4625003046,17995.0
4625003047,18081.0
4625003048,21297.0
4625003049,18655.0
4625003050,20902.0
4625003052,17882.0
4625003053,17332.0
4625003055,24039.0
4625004001,19358.0
4625004002,13355.0
4625004003,16847.0
4625004004,14597.0
4625004005,20075.0
4625004006,19112.0
4625004007,15895.0
4625004008,16049.0
4625004009,12788.0
4625004010,16557.0
4625004011,12798.0
4625004012,10887.0
4625004014,12740.0
4625004015,12140.0
4625004016,11297.0
4625004017,16844.0
4625004018,18948.0
4625004019,19735.0
4625004020,18970.0
4625004021,17844.0
4625004022,16044.0
4625004023,15312.0
4625004024,20433.0
4625004025,18475.0
4625004026,20890.0
4625004027,19677.0
4625004028,20427.0
4625004029,20136.0
4625004030,22099.0
4625005001,17428.0
4625005002,11838.0
4625005003,11371.0
4625005004,12579.0
4625005005,12213.0
4625005006,14660.0
4625005007,14883.0
4625005008,15668.0
4625005009,11188.0
4625005010,18180.0
4625005011,15656.0
4625005013,15884.0
4625005014,12992.0
4625005015,14859.0
4625005016,15473.0
4625005017,16370.0
4625005018,15304.0
4625005021,14402.0
4625005022,15318.0
4625005025,17191.0
4625005027,16743.0
4625005028,20983.0
4625005029,12236.0
4625005031,12503.0
4625005033,13803.0
4625005034,9756.0
4625005036,11496.0
4625005037,16254.0
4625005038,17336.0
4625005039,15440.0
4625005040,16871.0
4625005041,18162.0
4625005042,15086.0
4625005043,15583.0
4625005044,15077.0
4625006001,27389.0
4625006002,25220.0
4625006003,25053.0
4625006004,21845.0
4625006006,36918.0
4625006007,26639.0
4625006008,22856.0
4625006009,14560.0
4625006011,13524.0
4625006012,22531.0
4625006013,20578.0
4625006014,23254.0
4625006015,22227.0
4625006016,25478.0
4625006017,25211.0
4625006018,31663.0
4625006019,24970.0
4625006021,26159.0
4625006022,23448.0
4625006023,21133.0
4625006024,21337.0
4625006026,21583.0
4625006027,20792.0
4625007001,13889.0
4625007002,12533.0
4625007003,16580.0
4625007004,10755.0
4625007005,13411.0
4625007006,11525.0
4625007007,14129.0
4625007008,15704.0
4625007009,13338.0
4625007010,12844.0
4625007012,13568.0
4625007013,15127.0
4625007014,11441.0
4625007015,12563.0
4625007016,14429.0
4625007017,14275.0
4625007018,13985.0
4625007019,15566.0
4625007020,16755.0
4625007021,13887.0
4625007022,13925.0
4625007023,12844.0
4625007024,12341.0
4625007025,11760.0
4625007026,9509.0
4625007027,9052.0
4625007030,9604.0
4625007031,11262.0
4625007032,16827.0
4625007036,9497.0
4625007037,9223.0
4625007039,15136.0
4625007040,14200.0
4625007041,13006.0
4625007042,15047.0
4625008001,14823.0
4625008002,16973.0
4625008003,17451.0
4625008004,15941.0
4625008006,18703.0
4625008007,18515.0
4625008008,15523.0
4625008009,16437.0
4625008010,14575.0
4625008012,14569.0
4625008013,17460.0
4625008014,16155.0
4625008015,14933.0
4625008016,13765.0
4625008017,13180.0
4625008018,17373.0
4625008019,17137.0
4625008020,15112.0
4625008021,12872.0
4625008022,15041.0
4625008023,13423.0
4625008024,16733.0
4625008025,12638.0
4625008026,14935.0
4625008027,17242.0
4625008028,15867.0
4625008029,17075.0
4625008030,16563.0
4625008031,15386.0
4625008032,13375.0
4625008033,18307.0
4625008034,14555.0
4625008035,14061.0
4625008036,16147.0
4625008037,16166.0
4625008038,17450.0
4625008039,12812.0
4625008040,15688.0
4625008041,14901.0
4625008042,16912.0
4625009001,17129.0
4625009002,17316.0
4625009003,16049.0
4625009004,13284.0
4625009005,13225.0
4625009007,11873.0
4625009008,13192.0
4625009009,14736.0
4625009010,13752.0
4625009012,12809.0
