cod_ine,nodo_red,dist_snap_m
4625001001,60707942,40.92
4625001002,85459621,32.99
4625001003,79451145,18.24
4625001005,60707895,24.03
4625001007,7580117485,26.89
4625001008,60707977,22.18
4625001009,12400873409,46.53
4625001010,191777641,18.97
4625001011,95191098,21.14
4625001012,2944745311,21.22
4625001013,83885140,13.72
4625001014,95191560,7.09
4625001017,83883026,31.16
4625001019,603997195,20.33
4625001022,29935850,14.34
4625001023,29935857,13.09
4625001024,30378592,19.11
4625001025,59836756,11.04
4625001026,7661412789,17.62
4625001028,11918521202,18.34
4625001030,7580714260,19.85
4625001031,25767434,18.39
4625001032,207515787,6.47
4625001034,6820843382,15.14
4625002001,7612585553,21.89
4625002003,7699012324,40.5
4625002004,108333479,39.8
4625002006,12180991113,51.28
4625002008,112815883,12.15
4625002009,112818510,34.76
4625002010,10896112187,41.62
4625002013,112820251,12.89
4625002014,12384869090,64.72
4625002015,112821750,28.73
4625002016,2823693243,44.64
4625002018,112820668,24.79
4625002019,112821463,79.65
4625002020,7695181470,2.89
4625002021,112820626,48.77
4625002023,10876484973,43.69
4625002024,7695181467,68.64
4625002025,112820898,95.18
4625002026,112820941,25.58
4625002030,7619673136,77.51
4625002031,112821515,85.89
4625002032,7232573472,7.0
4625002033,52748278,9.84
4625002035,52748288,33.65
4625002036,25767365,94.86
4625002037,52748676,22.67
4625002039,12396954702,20.25
4625002041,11009777656,13.34
4625002042,108325088,73.71
4625002043,1342102529,22.48
4625002044,6727030343,92.47
4625002045,7021924275,67.46
4625002046,11009814411,51.31
4625002047,108324392,41.3
4625002050,6727030343,58.74
4625002051,108325088,74.5
4625002053,6868151387,31.61
4625002054,108324724,94.73
4625002055,6844144056,76.5
4625002057,6263611061,9.51
4625003001,7673282709,41.97
4625003002,6267801967,15.09
4625003004,30886289,16.33
4625003007,10963821484,11.58
4625003008,82765837,59.91
4625003010,34366738,9.43
4625003013,6232377134,18.48
4625003015,30886269,12.75
4625003017,129607877,30.84
4625003018,10746701230,56.95
4625003019,9548689148,50.1
4625003020,9548689098,7.92
4625003021,10130711485,16.93
4625003023,1783289906,58.97
4625003025,10082921196,37.74
4625003026,12110649155,28.87
4625003027,2932140246,3.83
4625003029,10130673158,70.11
4625003030,10130711514,65.95
4625003032,11907185813,61.87
4625003033,7036901488,78.03
4625003034,96077592,53.1
4625003035,112184497,38.88
4625003036,13867047486,25.47
4625003037,128273923,49.55
4625003038,13867047497,73.89
4625003040,12169005463,56.49
4625003041,127568176,24.7
4625003044,1562728743,14.4
4625003046,231516861,60.72
4625003047,13347364573,60.31
4625003048,123789872,52.09
4625003049,11878819864,32.79
4625003050,123789743,50.68
4625003052,12173348272,13.95
4625003053,11238082306,34.75
4625003055,13867047471,72.38
4625004001,10944134420,21.8
4625004002,11666982393,44.43
4625004003,247652391,32.57
4625004004,11694514520,25.83
4625004005,1581269304,27.74
4625004006,11682307632,15.51
4625004007,12165781270,41.62
4625004008,11751656740,23.46
4625004009,11756543192,28.47
4625004010,193553373,56.49
4625004011,10946029212,20.83
4625004012,11728270207,18.74
4625004014,10945878696,33.03
4625004015,243982731,74.23
4625004016,243820552,49.29
4625004017,11071271035,6.3
4625004018,2202582278,214.77
4625004019,11705758880,7.56
4625004020,11673213588,18.92
4625004021,11694977045,6.22
4625004022,11662614527,13.99
4625004023,10940251454,10.23
4625004024,1881096541,4.63
4625004025,11694977308,34.03
4625004026,257429533,15.59
4625004027,2288880081,1.15
4625004028,11071040389,35.39
4625004029,11698547766,23.27
4625004030,11657130710,33.18
4625005001,191777651,2.42
