cod_ine,coddistrit,pob_total,HVI,FP,wk
4625001001,01,890,0.633806,0.60194,0.766967
4625001002,01,1073,0.636442,0.602133,0.772277
4625001003,01,1254,0.573811,0.732743,0.712974
4625001005,01,1186,0.675824,0.563924,0.831285
4625001007,01,857,0.626153,0.469123,0.686143
4625001008,01,1054,0.567132,0.390989,0.530748
4625001009,01,1140,0.443151,0.688098,0.432425
4625001010,01,1073,0.53652,0.601745,0.57442
4625001011,01,1513,0.608541,0.575564,0.703944
4625001012,01,906,0.582943,0.407401,0.570142
4625001013,01,1489,0.68481,0.422646,0.779193
4625001014,01,1481,0.606098,0.47167,0.64773
4625001017,01,744,0.68963,0.374941,0.765135
4625001019,01,2645,0.612894,0.382096,0.616876
4625001022,01,1501,0.673921,0.285741,0.689946
4625001023,01,1258,0.625599,0.292793,0.597844
4625001024,01,1237,0.657634,0.634955,0.83043
4625001025,01,1097,0.639248,0.441254,0.698265
4625001026,01,1718,0.616368,0.411761,0.638419
4625001028,01,1033,0.64531,0.486003,0.732387
4625001030,01,890,0.582102,0.657514,0.69217
4625001031,01,916,0.636959,0.656057,0.799967
4625001032,01,1380,0.662472,0.556511,0.801207
4625001034,01,1819,0.613661,0.767708,0.809096
4625002001,02,1044,0.706188,0.490476,0.855028
4625002003,02,1100,0.705532,0.2325,0.726149
4625002004,02,1646,0.673737,0.257231,0.675483
4625002006,02,1434,0.705711,0.241764,0.731084
4625002008,02,1331,0.682446,0.281442,0.704684
4625002009,02,1179,0.674361,0.161703,0.629474
4625002010,02,955,0.711297,0.211703,0.727268
4625002013,02,1425,0.692733,0.368199,0.767939
4625002014,02,857,0.646649,0.183484,0.585427
4625002015,02,1225,0.669876,0.168432,0.62393
4625002016,02,1483,0.663571,0.270199,0.661786
4625002018,02,1913,0.760941,0.208058,0.82367
4625002019,02,1184,0.691568,0.260132,0.712191
4625002020,02,1078,0.595037,0.136455,0.46007
4625002021,02,825,0.675236,0.244898,0.672349
4625002023,02,1274,0.696872,0.165704,0.675984
4625002024,02,754,0.713909,0.086455,0.670494
4625002025,02,813,0.69791,0.17881,0.684519
4625002026,02,987,0.68552,0.163545,0.65246
4625002030,02,832,0.703427,0.15453,0.683425
4625002031,02,1146,0.678896,0.111703,0.613718
4625002032,02,890,0.666362,0.319869,0.691871
4625002033,02,1641,0.592075,0.471251,0.619783
4625002035,02,1061,0.561665,0.215217,0.433006
4625002036,02,835,0.595619,0.141764,0.463847
4625002037,02,1362,0.602351,0.526176,0.667274
4625002039,02,1614,0.51395,0.576424,0.51725
4625002041,02,800,0.503942,0.512996,0.466084
4625002042,02,1096,0.667417,0.19547,0.632437
4625002043,02,765,0.562734,0.233778,0.4443
4625002044,02,722,0.650032,0.10453,0.553072
4625002045,02,1424,0.539614,0.302118,0.432361
4625002046,02,954,0.554616,0.452878,0.536596
4625002047,02,855,0.537665,0.261567,0.408452
4625002050,02,1145,0.640418,0.273851,0.617791
